Accum,vanilla,vanilla-34,vanilla-34-kd,vanilla-34-kd-2,vanilla-35-owc
0.59,62.194357366771,42.095588235294,43.504901960784,40.085679314565,67.176974892835
0.60,63.636363636364,45.955882352941,47.18137254902,42.533659730722,69.197795468463
0.61,64.952978056426,49.387254901961,49.448529411765,45.654834761322,70.912431108389
0.62,66.457680250784,52.389705882353,53.186274509804,48.470012239902,72.014696876914
0.63,67.398119122257,54.963235294118,56.188725490196,51.468788249694,73.116962645438
0.64,68.401253918495,57.536764705882,59.313725490196,54.22276621787,73.974280465401
0.65,68.777429467085,60.355392156863,61.825980392157,57.221542227662,74.586650336803
0.66,69.717868338558,62.254901960784,63.664215686275,59.730722154223,75.443968156767
0.67,70.407523510972,64.522058823529,65.747549019608,61.383108935129,76.30128597673
0.68,71.28526645768,66.666666666667,67.647058823529,63.219094247246,76.791181873852
0.69,71.912225705329,68.688725490196,69.607843137255,65.116279069767,77.158603796693
0.70,73.166144200627,70.343137254902,71.323529411765,66.646266829865,77.770973668096
0.71,73.918495297806,71.813725490196,73.28431372549,68.421052631579,78.015921616656
0.72,74.858934169279,73.100490196078,74.142156862745,70.073439412485,78.87323943662
0.73,75.799373040752,74.264705882353,75.30637254902,70.869033047736,79.608083282303
0.74,76.865203761755,75.183823529412,76.286764705882,72.093023255814,80.097979179424
0.75,77.617554858934,75.796568627451,76.899509803922,73.378212974296,81.077770973668
0.76,78.369905956113,76.40931372549,77.267156862745,74.173806609547,81.56766687079
0.77,79.059561128527,76.838235294118,78.002450980392,75.214198286414,82.547458665034
0.78,79.561128526646,77.328431372549,79.044117647059,75.948592411261,82.914880587875
0.79,80.438871473354,77.757352941176,79.656862745098,76.744186046512,83.404776484997
0.80,80.626959247649,78.125,79.779411764706,77.172582619339,83.588487446418
0.8,82.69592476489,81.801470588235,82.904411764706,80.905752753978,86.037966932027
0.9,86.081504702194,86.825980392157,87.928921568627,85.801713586291,88.671157379057
1.0,88.84012539185,89.828431372549,92.095588235294,89.902080783354,92.16166564605
1.1,91.097178683386,92.218137254902,94.117647058824,92.288861689107,93.692590324556
1.2,92.915360501567,94.05637254902,95.404411764706,94.430844553244,94.611145131659
1.3,94.23197492163,94.852941176471,96.384803921569,95.532435740514,95.529699938763
1.4,94.733542319749,95.833333333333,96.936274509804,96.144430844553,96.019595835885
1.5,95.109717868339,96.384803921569,97.426470588235,96.756425948592,96.815676668708
1.6,95.673981191223,96.936274509804,97.855392156863,97.368421052632,96.999387630129
1.7,96.050156739812,97.242647058823,98.345588235294,97.919216646267,97.30557256583
1.8,96.238244514107,97.487745098039,98.468137254902,98.164014687883,97.611757501531
1.9,96.363636363636,97.855392156863,98.774509803922,98.347613219094,98.346601347214
2.0,96.739811912226,98.28431372549,98.958333333333,98.531211750306,98.652786282915
2.1,97.17868338558,98.59068627451,99.080882352941,98.89840881273,98.897734231476
2.2,97.366771159875,98.835784313725,99.264705882353,99.082007343941,99.142682180037
2.3,97.742946708464,99.142156862745,99.387254901961,99.143206854345,99.142682180037
2.4,97.993730407524,99.142156862745,99.509803921569,99.204406364749,99.265156154317
2.5,98.181818181818,99.325980392157,99.632352941176,99.510403916769,99.387630128598
2.6,98.244514106583,99.387254901961,99.632352941176,99.510403916769,99.448867115738
2.6+,99.623824451411,100,100,100,99.755052051439
>>>,100,100,100,100,100

