Accum,vanilla,vanilla-wp44-owc,vanilla-wp44,vanilla-wp44-owc-2,vanilla-wp44-issue-15-2,vanilla-wp44-issue-15-5
0.75,77.617554858934,84.662203286671,12.837837837838,62.331288343558,85.786481364498,85.675675675676
0.76,78.369905956113,85.027388922702,13.083538083538,63.312883435583,86.481364497789,86.081081081081
0.77,79.059561128527,85.757760194766,13.452088452088,64.601226993865,86.860391661402,86.621621621622
0.78,79.561128526646,86.183810103469,14.127764127764,66.073619631902,87.17624763108,87.432432432432
0.79,80.438871473354,86.548995739501,14.68058968059,67.300613496933,87.7447883765,88.108108108108
0.80,80.626959247649,86.792452830189,14.987714987715,67.60736196319,88.060644346178,88.243243243243
0.8,82.69592476489,88.679245283019,19.90171990172,73.61963190184,89.829437776374,89.594594594595
0.9,86.081504702194,91.418137553256,32.923832923833,80.981595092025,91.914087176248,92.027027027027
1.0,88.84012539185,94.03530127815,49.570024570025,86.257668711656,94.125078963992,94.324324324324
1.1,91.097178683386,95.435179549604,62.837837837838,88.098159509202,95.514845230575,95.540540540541
1.2,92.915360501567,96.22641509434,70.208845208845,90.061349693252,96.462413139608,96.351351351351
1.3,94.23197492163,96.895922093731,73.832923832924,91.840490797546,96.904611497157,97.027027027027
1.4,94.733542319749,97.626293365794,76.658476658477,93.251533742331,97.473152242577,97.432432432432
1.5,95.109717868339,97.748021911138,80.036855036855,94.233128834356,97.536323436513,97.567567567568
1.6,95.673981191223,97.991479001826,82.800982800983,95.21472392638,98.168035375869,98.243243243243
1.7,96.050156739812,98.11320754717,84.398034398034,96.073619631902,98.29437776374,98.513513513514
1.8,96.238244514107,98.539257455873,85.872235872236,96.38036809816,98.736576121289,98.783783783784
1.9,96.363636363636,98.782714546561,87.100737100737,96.687116564417,98.86291850916,98.918918918919
2.0,96.739811912226,99.026171637249,88.513513513514,96.932515337423,98.926089703095,99.054054054054
2.1,97.17868338558,99.147900182593,89.742014742015,97.423312883436,99.115603284902,99.189189189189
2.2,97.366771159875,99.330493000609,90.601965601966,97.730061349693,99.241945672773,99.324324324324
2.3,97.742946708464,99.452221545953,91.953316953317,97.975460122699,99.368288060644,99.459459459459
