Accum,vanilla,nofooter,gfw,yoastseo,genesistant
0.58,60.940438871473,48.180677540778,28.392745465916,18.073047858942,10.621118012422
0.59,62.194357366771,50.188205771644,30.331457160725,19.269521410579,12.173913043478
0.60,63.636363636364,52.07026348808,33.208255159475,20.906801007557,13.105590062112
0.61,64.952978056426,54.203262233375,35.146966854284,22.229219143577,13.726708074534
0.62,66.457680250784,55.64617314931,37.898686679174,23.740554156171,14.223602484472
0.63,67.398119122257,58.030112923463,40.462789243277,25.755667506297,14.596273291925
0.64,68.401253918495,59.9121706399,42.714196372733,28.148614609572,15.031055900621
0.65,68.777429467085,61.543287327478,45.403377110694,30.037783375315,15.83850931677
0.66,69.717868338558,63.676286072773,46.966854283927,31.612090680101,17.018633540373
0.67,70.407523510972,65.244667503137,49.405878674171,33.501259445844,18.012422360248
0.68,71.28526645768,66.687578419072,51.156973108193,35.453400503778,19.254658385093
0.69,71.912225705329,67.879548306148,52.970606629143,37.468513853904,20.434782608696
0.70,73.166144200627,69.322459222083,54.346466541588,39.294710327456,21.552795031056
0.71,73.918495297806,70.577164366374,55.722326454034,41.24685138539,23.105590062112
0.72,74.858934169279,71.580928481807,57.098186366479,43.198992443325,24.844720496894
0.73,75.799373040752,72.58469259724,58.661663539712,45.906801007557,26.39751552795
0.74,76.865203761755,73.212045169385,59.84990619137,48.110831234257,27.577639751553
0.75,77.617554858934,73.96486825596,61.225766103815,50.062972292191,29.192546583851
0.76,78.369905956113,75.470514429109,62.226391494684,51.448362720403,31.242236024845
0.77,79.059561128527,76.411543287327,63.352095059412,52.896725440806,32.422360248447
0.78,79.561128526646,76.913425345044,63.977485928705,54.345088161209,34.099378881988
0.79,80.438871473354,77.603513174404,64.790494058787,55.982367758186,35.900621118012
0.80,80.626959247649,77.791718946048,65.103189493433,56.738035264484,36.459627329193
0.8,82.69592476489,81.68130489335,70.168855534709,62.72040302267,44.844720496894
0.9,86.081504702194,85.759096612296,79.049405878674,73.173803526448,58.385093167702
1.0,88.84012539185,88.70765370138,84.427767354597,81.423173803526,69.068322981366
1.1,91.097178683386,91.091593475533,87.80487804878,85.579345088161,75.652173913043
1.2,92.915360501567,92.471769134253,90.368980612883,88.664987405542,80.993788819876
1.3,94.23197492163,94.165621079046,92.55784865541,90.428211586902,85.27950310559
1.4,94.733542319749,95.106649937265,93.746091307067,92.569269521411,88.198757763975
1.5,95.109717868339,96.047678795483,94.621638524078,94.017632241814,90.062111801242
1.6,95.673981191223,96.42409033877,95.684803001876,95.340050377834,91.304347826087
1.7,96.050156739812,96.612296110414,96.060037523452,95.906801007557,93.354037267081
1.8,96.238244514107,96.863237139272,96.435272045028,96.347607052897,94.347826086957
1.9,96.363636363636,97.176913425345,96.685428392745,96.47355163728,95.031055900621
2.0,96.739811912226,97.302383939774,96.935584740463,96.725440806045,95.465838509317
2.1,97.17868338558,97.490589711418,97.060662914321,96.91435768262,95.900621118012
2.2,97.366771159875,97.741530740276,97.248280175109,97.35516372796,95.962732919255
2.3,97.742946708464,97.804265997491,97.560975609756,97.607052896725,96.335403726708
2.4,97.993730407524,97.992471769134,97.686053783615,97.732997481108,96.583850931677
2.5,98.181818181818,97.992471769134,97.748592870544,97.921914357683,97.018633540373
2.6,98.244514106583,98.117942283563,97.936210131332,97.921914357683,97.080745341615
2.6+,99.623824451411,99.623588456713,99.624765478424,99.622166246851,99.254658385093
>>>,100,100,100,100,100
