Plugin,Total
zopim-live-chat,1134155
contact-widgets,1129871
wordpress-mobile-pack,1127326
event-organiser,1125213
varnish-http-purge,1118879
editorial-calendar,1115638
recent-posts-widget-extended,1113645
yith-woocommerce-quick-view,1111969
twitter-widget-pro,1106573
contact-form-builder,1104827
video-playlist-and-gallery-plugin,1103987
live-composer-page-builder,1102364
seo-automatic-links,1101487
google-document-embedder,1099817
q2w3-fixed-widget,1094978
wp-database-backup,1093440
cms-tree-page-view,1093067
wordpress-reset,1091539
wp-lightbox-2,1083109
menu-icons,1080173
social-warfare,1078613
slideshow-jquery-image-gallery,1073201
category-posts,1067774
wp-sitemap-page,1066431
landing-pages,1062688
pods,1060002
testimonials-widget,1051070
video-thumbnails,1049625
godaddy-email-marketing-sign-up-forms,1044342
custom-login,1041897
robo-gallery,1036750
icegram,1036593
wp-google-map-plugin,1036509
simple-membership,1032119
lightbox-gallery,1026654
intuitive-custom-post-order,1025284
simple-301-redirects,1023267
option-tree,1022965
wordpress-ping-optimizer,1022823
exploit-scanner,1018932
accesspress-social-icons,1017817
exclude-pages,1015170
nav-menu-roles,1014579
hyper-cache,1013411
iframe,1010126
block-bad-queries,1009340
wp-social-bookmarking-light,1004713
commentluv,1004358
antivirus,999717
sidebar-login,996491
coming-soon-page,993687
pubsubhubbub,990810
rating-widget,990788
facebook-pagelike-widget,988952
polldaddy,988687
wp-seopress,988526
contact-form-cfdb7,988065
learnpress,987512
popup-by-supsystic,987434
sydney-toolbox,983772
like-box,979745
user-access-manager,976041
a3-lazy-load,975813
contextual-related-posts,973101
all-in-one-schemaorg-rich-snippets,954752
autodescription,952011
header-footer-elementor,951074
white-label-cms,949400
xcloner-backup-and-restore,945059
404-to-301,943778
count-per-day,943624
svg-support,931375
social-polls-by-opinionstage,929611
login-lockdown,923764
easing-slider,918741
custom-field-template,917795
brizy,912166
addquicktag,908356
php-compatibility-checker,906225
bad-behavior,901298
media-library-assistant,898100
import-users-from-csv-with-meta,897316
quttera-web-malware-scanner,895405
amoforms,894952
easy-theme-and-plugin-upgrades,894728
wassup,894340
everest-forms,893853
easy-testimonials,893019
business-directory-plugin,888872
event-tickets,886140
buddypress-media,885245
post-smtp,882039
404page,877419
woocommerce-checkout-manager,876342
social-pug,873697
woocommerce-google-analytics-integration,872646
ckeditor-for-wordpress,868248
peters-login-redirect,865149
popups,862832
dynamic-widgets,861066
spider-event-calendar,859600
reveal-ids-for-wp-admin-25,856214
event-calendar-wd,854261
ozh-admin-drop-down-menu,851988
accesspress-social-counter,851580
media-file-renamer,851343
eu-cookie-law,849867
wp-clean-up-optimizer,847155
auto-post-thumbnail,847042
speed-booster-pack,847024
wp-shortcode,846237
advanced-excerpt,843551
wp-tab-widget,840829
display-posts-shortcode,835029
email-address-encoder,833790
wp-crontrol,830998
wp-editor,830774
contact-form-lite,828822
cookiebot,827662
table-of-contents-plus,827513
jquery-collapse-o-matic,827482
advanced-iframe,824753
slide-anything,817676
wpdiscuz,815919
postie,814747
connections,814650
wpcat2tag-importer,811721
bwp-google-xml-sitemaps,811594
ditty-news-ticker,810091
newstatpress,808052
all-in-one-webmaster,806544
php-code-widget,805820
ultimate-responsive-image-slider,804631
seo-by-rank-math,804369
woo-product-feed-pro,803330
wd-facebook-feed,800978
blog2social,800874
gdpr-cookie-compliance,797947
title-remover,790072
bulk-delete,788657
add-from-server,786255
grand-media,785887
async-javascript,784268
vk-all-in-one-expansion-unit,781816
content-aware-sidebars,778146
instagram-slider-widget,776060
facebook-by-weblizar,773509
ultimate-addons-for-gutenberg,771106
headspace2,770996
disable-google-fonts,766663
oa-social-login,766642
wordpress-https,764310
minimal-coming-soon-maintenance-mode,762797
login-with-ajax,762014
siteguard,761564
ajax-load-more,760130
wp-video-lightbox,758753
seo-redirection,754976
comments-from-facebook,754523
gwolle-gb,753554
syntaxhighlighter,753302
wordpress-social-login,753137
debug-bar,752193
product-import-export-for-woo,752059
mailchimp-forms-by-mailmunch,752031
post-views-counter,750193
olympus-google-fonts,749268
google-maps-easy,744054
leaflet-maps-marker,743119
spam-free-wordpress,742694
simple-sitemap,738677
media-library-plus,736890
woocommerce-germanized,734600
facebook-auto-publish,733545
login-customizer,732630
call-now-button,732476
ps-auto-sitemap,727955
stop-spammer-registrations-plugin,727810
envato-elements,725898
woocommerce-square,725829
amazon-s3-and-cloudfront,725412
video-embed-thumbnail-generator,723113
wp-table-reloaded,722227
ultimate-product-catalogue,721897
ip-geo-block,720848
wordpress-database-reset,719893
bj-lazy-load,719460
fb-instant-articles,718413
sendgrid-email-delivery-simplified,717566
smooth-slider,717341
insert-php,717199
use-google-libraries,715375
featured-image-from-url,713695
tac,711296
post-grid,709563
rss-importer,705832
aryo-activity-log,705422
wp-customer-reviews,705386
widget-css-classes,705143
tubepress,703659
wp-useronline,702546
genesis-simple-hooks,702187
kingcomposer,702159
wp-staging,701999
data-tables-generator-by-supsystic,700308
loginpress,699410
wp-socializer,698994
pluscaptcha,694868
amazon-associates-link-builder,694593
simple-image-widget,690904
slideshow-gallery,689176
ti-woocommerce-wishlist,688716
customizer-export-import,688257
addons-for-elementor,686657
custom-post-type-permalinks,680578
participants-database,678788
wp-content-copy-protector,677305
social-icons-widget-by-wpzoom,675592
crayon-syntax-highlighter,675267
genesis-enews-extended,673960
subscribe-to-comments-reloaded,673179
weglot,673107
jquery-updater,669719
column-shortcodes,669454
top-10,669180
wp125,661053
qtranslate-x,659897
file-manager,658988
amr-shortcode-any-widget,658423
simple-social-buttons,658228
mesmerize-companion,657909
post-duplicator,657704
yet-another-stars-rating,657154
paypal-donations,656011
widget-context,653799
translatepress-multilingual,653428
woocommerce-menu-bar-cart,652730
wp-time-capsule,652427
iq-block-country,651379
mollie-payments-for-woocommerce,648598
wp-recipe-maker,646965
woo-variation-swatches,646635
ultimate-faqs,643332
bwp-minify,642732
hummingbird-performance,642333
ajax-thumbnail-rebuild,641804
nginx-helper,641229
meteor-slides,638256
heartbeat-control,638015
wp-jquery-lightbox,637947
responsive-add-ons,637300
wp-user-frontend,637149
wp-file-upload,635830
wp-all-export,635652
cmp-coming-soon-maintenance,635579
wowslider,634891
ultimate-form-builder-lite,633898
nimble-builder,633399
woocommerce-xml-csv-product-import,632347
wp-print,632247
hupso-share-buttons-for-twitter-facebook-google,632087
simple-image-sizes,631200
calendar,630106
miniorange-login-openid,626958
yikes-inc-easy-custom-woocommerce-product-tabs,624796
twitter,624413
youtube-embed,622634
intergeo-maps,621867
global-translator,621637
portfolio-post-type,620446
my-custom-functions,619883
get-the-image,617362
wp-paginate,617066
wp-store-locator,616215
visualizer,614954
capability-manager-enhanced,614740
spacer,611079
wp-ultimate-csv-importer,609808
jquery-pin-it-button-for-images,609599
safe-redirect-manager,608433
wpremote,607043
livemesh-siteorigin-widgets,606982
oauth-twitter-feed-for-developers,606463
wp-add-custom-css,606216
pinterest-pin-it-button-on-image-hover-and-post,605680
wp-insert,603170
persian-woocommerce,602644
store-locator-le,600920
wc-shortcodes,598790
wp-asset-clean-up,595096
media-element-html5-video-and-audio-player,594282
post-type-switcher,593919
tracking-code-manager,593450
webappick-product-feed-for-woocommerce,592489
kk-star-ratings,591654
events-made-easy,589276
wp-nested-pages,587869
quiz-master-next,586227
wp-subscribe,586216
miniorange-2-factor-authentication,586185
dynamic-featured-image,584829
feedzy-rss-feeds,582233
acf-content-analysis-for-yoast-seo,582108
adsense-plugin,581276
advanced-sidebar-menu,578170
another-wordpress-classifieds-plugin,576833
mce-table-buttons,574785
jigoshop,574151
rocket-lazy-load,571681
advanced-woo-search,566785
wordpress-video-plugin,566407
enhanced-e-commerce-for-woocommerce-store,565698
cf7-conditional-fields,564546
facebook-page-promoter-lightbox,564115
custom-registration-form-builder-with-submission-manager,561633
wp-meta-seo,561227
statify,560280
page-scroll-to-id,560107
smart-manager-for-wp-e-commerce,559625
jquery-t-countdown-widget,559289
woocommerce-delivery-notes,558932
go-live-update-urls,555869
ecommerce-product-catalog,554910
schema,554096
rename-wp-login,552993
ninjafirewall,551817
user-submitted-posts,551788
groups,551040
cta,549386
wp-backitup,549314
accesspress-twitter-feed,546940
glue-for-yoast-seo-amp,546070
wp-analytify,544973
sportspress,544965
hide-title,543770
simple-local-avatars,543003
wpglobus,542776
rotatingtweets,541451
intensedebate,538205
wp-hide-security-enhancer,537614
mailgun,536629
edit-author-slug,535642
woocommerce-products-filter,535253
elementor-addon-widgets,534954
pricing-table-by-supsystic,534471
mystickymenu,533421
https-redirection,532816
mw-wp-form,532325
fg-joomla-to-wordpress,532017
seriously-simple-podcasting,530528
contact-form-7-datepicker,530101
better-font-awesome,529855
wpsso-ssb,529333
woocommerce-currency-switcher,528109
testimonials-by-woothemes,527486
wordpress-mu-domain-mapping,527358
shadowbox-js,526892
lingotek-translation,526881
ag-custom-admin,526330
chartbeat,526249
facebook-conversion-pixel,526067
transposh-translation-filter-for-wordpress,523040
facebook-members,521525
flexible-shipping,520772
cache-enabler,520716
blogvault-real-time-backup,520445
mobile-menu,520156
official-facebook-pixel,519858
yop-poll,519436
amazon-web-services,518827
insta-gallery,518644
wc-vendors,515539
kadence-blocks,514126
login-recaptcha,513634
modula-best-grid-gallery,510992
wp-performance-score-booster,510785
safe-svg,510121
genesis-responsive-slider,509552
youtube-video-player,509495
simple-download-monitor,508817
wp-sweep,503678
jquery-colorbox,503237
cryout-theme-settings,502737
final-tiles-grid-gallery-lite,502300
dropdown-menu-widget,501789
role-scoper,500559
woo-order-export-lite,500385
subscribe-to-comments,500131
wpfront-user-role-editor,498819
menu-image,498169
acurax-social-media-widget,496891
awesome-weather,496856
easy-pricing-tables,496634
widgets-on-pages,496525
plugin-organizer,495747
theme-test-drive,494757
simple-author-box,492802
image-watermark,492513
coming-soon-maintenance-mode-from-acurax,491865
wpcf7-redirect,490886
revision-control,490872
social-share-buttons-by-supsystic,489280
categories-images,486388
tumblr-importer,484566
clearfy,482812
woocommerce-customizer,481066
related-posts-thumbnails,480482
search-regex,480418
widget-countdown,480178
timber-library,476382
wp-site-migrate,476074
wpematico,475875
wp-responsive-menu,475321
social-sharing-toolkit,474857
wp-content-copy-protection,474635
quick-featured-images,474370
ajax-search-lite,474057
wp-email,471906
widget-settings-importexport,470686
ad-injection,470658
rustolat,470463
blog-designer,470107
pinterest-pin-it-button,469897
user-photo,468638
lazy-load,466969
woocommerce-exporter,465368
featured-content-gallery,463280
gravity-forms-pdf-extended,462546
redis-cache,462538
social-count-plus,461087
widget-options,460235
easy-twitter-feed-widget,459696
sendpress,458979
adsense-manager,457320
post-expirator,457235
media-cleaner,455439
wp-auto-affiliate-links,454143
customify,453386
sitemap,452468
easy-social-icons,451917
wp-meta-and-date-remover,451354
twitter-plugin,450925
mp3-jplayer,450836
hueman-addons,450774
geodirectory,450029
wp-minify,449893
contact-form-7-dynamic-text-extension,449002
raw-html,448543
shortcoder,446979
visitors-traffic-real-time-statistics,446778
social-media-buttons-toolbar,446521
ithemes-sync,446351
media-from-ftp,445850
tidio-live-chat,445831
addons-for-visual-composer,444613
widget-shortcode,444042
gmap-embed,443540
yith-woocommerce-catalog-mode,443499
wpfront-scroll-top,442807
rest-api,440919
cloudflare-flexible-ssl,440450
bm-custom-login,439009
if-menu,437988
microthemer,437594
email-users,437348
yellow-pencil-visual-theme-customizer,436946
lj-maintenance-mode,436200
cyr3lat,436059
usc-e-shop,435499
templatesnext-toolkit,433166
wp-share-buttons-analytics-by-getsocial,431819
wp-rollback,430591
contact-form-by-supsystic,430575
post-plugin-library,429810
asesor-cookies-para-la-ley-en-espana,429644
kimili-flash-embed,429448
yith-essential-kit-for-woocommerce-1,429331
alo-easymail,428488
advanced-wp-reset,427979
orbisius-child-theme-creator,427462
host-analyticsjs-local,427047
goodbye-captcha,426556
addon-elements-for-elementor-page-builder,426494
timeline-express,426478
twitter-for-wordpress,426382
clean-and-simple-contact-form-by-meg-nicholas,424997
nk-google-analytics,424274
remove-footer-credit,423600
youtube-channel-gallery,423429
booking-system,421446
thirstyaffiliates,421179
resize-image-after-upload,420787
portfolio-slideshow,420341
wd-google-maps,418038
asgaros-forum,417656
woocommerce-abandoned-cart,417350
remove-query-strings-from-static-resources,415351
woocommerce-pdf-invoices,414804
shariff,414353
codelights-shortcodes-and-widgets,413597
easy-bootstrap-shortcodes,412536
custom-post-widget,409314
wp-maintenance,407571
admin-management-xtended,407283
google-pagespeed-insights,406387
sticky-menu-or-anything-on-scroll,406039
wc-frontend-manager,404185
wp-youtube-lyte,404019
zedity,403650
famethemes-demo-importer,402073
mega-addons-for-visual-composer,401073
advanced-nocaptcha-recaptcha,399706
captcha-bank,399430
no-category-base-wpml,399329
aftership-woocommerce-tracking,399116
cyr2lat,398337
wp-easy-gallery,397899
youtube-channel,397892
font-awesome,397814
easy-columns,397564
bp-profile-search,397534
woocommerce-pagseguro,397406
mycred,396203
woocommerce-grid-list-toggle,395663
comet-cache,395525
better-click-to-tweet,394958
testimonial-rotator,394701
wp-external-links,394528
only-tweet-like-share-and-google-1,392328
header-and-footer-scripts,391981
wp-page-widget,391776
vc-shortcodes,391569
optimus,391388
hotfix,390869
player,390553
header-and-footer-scripts-inserter,390193
movabletype-importer,389205
multiple-post-thumbnails,388644
easy-coming-soon,388214
custom-field-suite,388097
wpgform,388013
social-locker,387816
woocommerce-product-addon,387617
dokan-lite,386758
leads,384441
mailin,381581
embed-any-document,380933
svg-vector-icon-plugin,380912
slick-social-share-buttons,380871
simple-page-sidebars,380805
custom-share-buttons-with-floating-sidebar,380665
accesspress-social-login-lite,380244
click-to-chat-for-whatsapp,379990
quotes-collection,379464
wp-whatsapp-chat,379222
really-static,378810
invisible-recaptcha,378323
wf-cookie-consent,378281
shapely-companion,377950
widgets-for-siteorigin,377592
metronet-profile-picture,377039
disable-wordpress-updates,376198
flexi-pages-widget,375150
shapepress-dsgvo,374120
genesis-simple-sidebars,374102
kiwi-social-share,374028
animate-it,373616
html-editor-syntax-highlighter,373485
easy-video-player,372930
network-publisher,372880
login-sidebar-widget,372259
mainwp,371717
lifterlms,371252
wp-fail2ban,370198
api-key-for-google-maps,369712
smart-forms,369139
fancy-gallery,368480
dw-question-answer,368070
newsletter-sign-up,367042
custom-twitter-feeds,366619
disable-emojis,365125
wp-seo-structured-data-schema,364935
hide-admin-bar,364362
similar-posts,363738
woocommerce-correios,363207
wp-fb-autoconnect,363122
accesspress-instagram-feed,361714
co-authors-plus,360607
upload-max-file-size,360328
weight-based-shipping-for-woocommerce,360217
loginradius-for-wordpress,359827
bootstrap-3-shortcodes,359744
coschedule-by-todaymade,359223
multisite-language-switcher,358060
resmushit-image-optimizer,357632
compact-wp-audio-player,356543
contact-form-7-style,356225
404-to-start,355929
video-sidebar-widgets,355081
accordions,354899
bnfw,354381
post-thumbnail-editor,353672
paid-member-subscriptions,352361
carousel-slider,352303
extended-categories-widget,351135
woocommerce-mailchimp,351133
saphali-woocommerce-lite,350598
soundcloud-shortcode,350469
very-simple-contact-form,350333
stream-video-player,349735
nivo-slider-lite,347978
opml-importer,347640
responsive-photo-gallery,347518
microblog-poster,347347
itro-popup,347248
wp-hide-post,345565
gregs-high-performance-seo,345314
bookly-responsive-appointment-booking-tool,344349
any-mobile-theme-switcher,344107
wp-typography,343375
wp-super-edit,342781
a2-optimized-wp,342359
contact-form-with-a-meeting-scheduler-by-vcita,342083
easy-appointments,342032
wickett-twitter-widget,341776
add-local-avatar,340890
slider-by-supsystic,340263
gigpress,340043
wp-property,339249
wpforo,338790
magee-shortcodes,338753
advanced-custom-fields-font-awesome,338631
whmcs-bridge,338438
stream,338261
posts-in-page,338157
fb-messenger-live-chat,337804
pdf-print,337548
wp-greet-box,336423
wp-smtp,335960
slidedeck2,335759
sem-external-links,335692
optin-forms,335626
check-email,335524
search-filter,335460
getresponse-integration,335429
auxin-elements,334869
cbnet-ping-optimizer,334098
wp-mail-logging,333221
