Slug,Name,Rating,Downloaded,Tested
nuton-text-share,Nuton Text Share WordPress,0,130,4.9.12
guestfriend-chatbot,Get Guestfriend Chat Bot,0,253,4.9.12
translationmanager,TranslationMANAGER for WordPress,0,314,4.9.12
poc-pour-ou-contre,POC &#8211; Pour ou contre,0,54,3.4.2
drimify-widget,WP Shortcode by Drimify,0,284,5.2.4
clayful-thunder,클레이풀 쇼핑 위젯 (썬더),0,90,5.0.7
mir-blocks-and-shortcodes,MIR blocks and shortcodes,0,34,5.2.4
departamentos-y-ciudades-de-guatemala-para-woocommerce,Departamentos y Municipios de Guatemala para Woocommerce,0,150,5.0.7
postqueue-feeds,Postqueue Feeds,0,225,4.9.12
ultimate-reset,Ultimate Reset,0,138,5.0.7
job-listings-from-remoteok-io,Job Listings from RemoteOK.io,0,52,5.2.4
consent-manager-for-woocommerce,Consent Manager for WooCommerce,0,107,5.0.7
launchpad-popular-posts,Launchpad Popular Posts,0,64,5.1.3
dev-slider,DevSlider,0,251,4.8.11
hello-webchuck,Hello WEBCHUCK,0,123,4.9.12
factureaza-me,factureaza.me,0,192,5.0.7
be-lazy,Be Lazy,100,184,5.2.4
wp-multi-task,WP Multi Task,0,268,
okhi-woocommerce,OkHi woocommerce,100,191,5.2.4
business-listing-manager,Business Listing Plugin,0,131,5.2.4
frontend-dialog,Frontend Dialog,0,217,4.7.15
oppia-integration,Oppia integration plugin,0,183,4.8.11
peek-uploader-to-s3-for-wpdm,Peak Uploader to S3 for WPDM,0,325,4.8.11
ni-woocommerce-customer-product-report,Ni WooCommerce Customer Product Report,0,262,5.2.4
the-wp-tracker,The WordPress Tracker Plugin,0,119,5.2.4
marketing-performance,Marketing Performance,0,160,5.2.4
woo-order-product-codes,WooCommerce &#8211; Order Product Codes,0,159,4.9.12
fobi-chatbot,fobi chatbot,100,421,4.9.12
personio,wp-personio,0,70,5.2.4
azurecurve-breadcrumbs,azurecurve Breadcrumbs,0,129,5.0.0
rush-seo-tags,RUSH Seo Tags,0,111,4.9.12
waj-scripts,WAJ Scripts,0,189,5.2.4
gn-customize-post-list,GN Customize Post List,0,85,5.2.4
vg-block-rest-api,VG Block REST API,0,284,4.9.12
previously-order-list-for-repeat-order,WooCommerce privious order list for repeat order,100,136,4.9.12
custom-styled-wp-login-page,Custom Styled WP Login Page,0,102,5.2.4
mnml-footnotes,MNML Footnotes,0,393,4.8.11
atelier-scroll-top,Atelier Scroll Top,0,122,5.2.4
affiliate-link-protect,Affiliate Link Protect,0,335,4.8.11
dragonfly,Dragonfly &#8211; Advanced Live Search,0,446,5.0.7
ye-old-pirate,Ye Old Pirate,0,220,4.4.20
risk-warning-bar,Risk Warning Bar,0,101,5.2.4
woo-sms-simple-order-notification,Woocommerce-simple-order-notification,0,293,4.8.11
skolmaten,Snillrik Skolmaten.se,0,163,5.0.7
hmh-woocommerce-product-bundles,Product bundles for WooCommerce,100,99,5.2.4
show-a-random-post-widget,Show a Random Post Widget,0,181,4.9.12
edublogify-contact-form,Edublogify Contact form,0,202,4.9.12
interactive-offers-co-registration,Interactive Offers Co-Registration Plugin,0,157,4.9.12
rubsum-stuff-lists,RubSum Stuff Lists,0,64,5.2.4
mhs-travel-map,My Hitchhiking Spot Travel Map (MHS Travel Map),0,620,5.2.4
simple-2fa,Simple 2FA,0,507,4.8.11
jmdawson-tempmedia,TempMedia,0,111,5.0.7
advanced-custom-blocks,Advanced Custom Blocks,100,520,4.9.12
woo-casinocoin-payments,CasinoCoin Payments,0,70,
images-asynchronous-load,Images Asynchronous Load,100,109,5.2.4
lndr-page-builder,Lndr,0,209,4.8.11
news-parser,News-Parser,0,116,5.2.4
product-attribute-global-order-and-visibility,Product Attribute Global Order and Visibility,0,76,5.2.4
ys-fp-md2pd,Ys-Fp_md2pd,0,266,5.2.4
practical-publishing-actions,Practical Publishing Actions,0,227,4.7.15
emoji-keyboard-in-comment-form,Emoji Keyboard in Comment Form,0,218,4.9.12
mapcraft,MapCraft (Alpha) &#8211; Google Maps Plugin,0,84,5.1.3
actify,Actify,0,152,4.9.12
myform-jp,myform-jp,0,343,4.9.12
wp-highlight-box,WP Highlight Box,0,150,4.9.12
snappy-year-shortcode,Snappy Year Shortcode,100,81,5.2.4
wps-admin-menus,WPS Admin Menus,0,145,5.0.7
woo-bill-pt,Woo Bill.pt,0,396,5.2.4
adr-promotion-recommendations,ADR Promotion Recommendations,0,249,4.9.12
nano-insurance,Nano Insurance,0,114,4.9.12
gauliscore,/* Plugin Name: GauliScore,0,226,
launchpad-smtp,Launchpad WP SMTP,0,67,5.2.4
basic-shortcode-elements,Basic Shortcode Elements,0,188,4.9.12
fasta-credit-for-checkout,FASTA Credit for Checkout,0,218,5.1.3
block-fancy-list-item,Block Fancy List Item,0,224,5.0.7
up-user-datakeeper,Up User Datakeeper,0,187,4.7.15
admin-options-pages,Admin Options Pages,100,183,5.1.3
woo-fnnldb,WooCommerce FnnlDb,0,65,5.2.4
user-activity-logger,User Activity Logger,0,239,4.9.12
hide-cpt-category-from-url,Hide CPT category from URL,0,177,4.9.12
loylap-gift-cards,Loylap Gift Cards,0,170,5.2.4
sb-scroll-to-top,SB Scroll To Top,0,184,4.7.15
woo-with-zoho-crm-integration,Connector for WooCommerce and Zoho CRM,0,104,4.8.11
nicechat,NiceChat-to-WP,100,314,4.8.11
profileir,Profileir,0,169,4.9.12
wp-group-subscriptions,WP Group Subscriptions,0,210,5.0.7
woo-product-reorder,Product Reorder for Woocommerce,0,67,5.2.4
transferito,Transferito – Speedy WordPress Migration Tool,0,214,5.0.7
cookiealert,CookieAlert,0,67,5.2.4
christmas-blocks,Christmas Blocks,0,202,5.0.7
news-ticker-by-minhaj,News Ticker by minhaj,0,167,4.7.15
woo-confirm-customer-email,WooCommerce Confirm Customer Email,0,132,5.0.7
admin-post-info,Admin Post Info,0,103,5.0.7
incognito-window-detect,Incognito Window Detect,0,131,5.2.4
creative-news-ticker,Creative News Ticker,0,293,4.8.11
woo-emoney-payment-gateway,WooCommerce eMoney Payment Gateway,0,154,5.0.7
french-accents,French Accents WordPress Plugin,0,135,4.9.12
bonafidetech-google-recaptcha,Bonafide Tech Google Recaptcha for WordPress,0,77,5.2.4
passbyme-two-factor-authentication,PassBy[ME] Two-Factor Authentication,0,269,4.6.16
bash-it-out,Bash It Out,0,221,5.0.7
wp-aaieduhr-auth,WP AAI@EduHr Auth,0,394,5.1.3
identibyte-for-contact-form-7,Identibyte for Contact Form 7,0,122,5.0.7
posts-date-reschedule,Posts Date Reschedule,100,362,4.8.11
mml-booking-calendar,MML Booking Calendar,0,142,5.1.3
block-email-formidable-form,Blacklist Unwanted Email &#8211; Formidable Forms,0,16,5.2.4
occupied,occupied,0,186,4.8.11
blockpen-payment-gateway,Cryptocurrency Payment Gateway for WooCommerce,0,199,5.2.4
simple-media-directory,Simple Video Directory,0,275,5.3
variations-select-menu-for-woocommerce,Variations Select Menu For Woocommerce,0,186,4.9.12
social-links-icons,Social Links Icons,0,88,5.2.4
cashineh-web-service,Plugin Name === Cashineh Webservice,0,243,4.9.12
cyoud-aio,Cyoud AIO,0,174,5.0.7
woo-mezco-sms,Wocommerce &#8211; Mezco SMS,0,192,5.2.4
anxious-client-shield,Anxious Client Shield,0,239,4.8.11
begenius-reputationgenius,Reputationgenius,0,330,4.8.11
color-scheme-field-for-advanced-custom-fields-pro,Color Scheme Field for Advanced Custom Fields PRO,0,170,4.9.0
mail-komplet,Mail Komplet,0,182,4.9.12
pick-n-post-quote,Pick-n-Post Quote,0,91,5.2.4
coupon-helper-for-woocommerce,Coupon Helper for WooCommerce,0,230,5.2.4
wp-post-html-to-blocks,WP Post HTML to Blocks,0,147,5.1.3
forms-3rdparty-submission-reformat,Forms: 3rd-Party Submission Reformat,0,277,4.3.21
createweb-ajax-cart,CW Ajax Cart,100,413,4.9.12
backtracks,Backtracks,0,196,4.9.12
post-filter-filter-any-contents-with-specific-words,Post Filter,0,86,5.2.4
streaming-companion-for-mixer,Streaming Companion For Mixer,0,173,4.9.12
campt-razorpay-payment-gateway,CampTix RazorPay Payment Gateway,100,875,4.7.15
debug-functions-time,Debug Functions Time,100,105,5.2.4
woo-remove-customer-details-from-new-order-email,Woocommerce Remove Customer Details From New Order Email,0,82,5.2.4
debugly,Debugly,0,157,4.9.12
progressbar-with-scrolling,Plugin Name: progressbar-with-scrolling,0,57,5.2.4
wp-custom-image-widget,WP Custom Image Widget,0,151,5.2.4
cache-file-management-for-wp-super-cache,Cache file management for wp super cache,0,106,5.0.7
grouped-variations-table,Grouped Variations Table,0,344,5.2.4
sistemex-inbound,Sistemex – Inbound,100,86,5.2.4
webman-bulk-delete,WP Bulk Delete,0,625,4.9.12
safe-pay,Безопасный платеж SAFE PAY,0,139,5.2.4
oneday-transport-links,Hong Kong Transport Links,100,92,5.0.7
httpcs-validation,HTTPCS Validation,0,323,4.8.11
freshjet,Freshjet,0,218,5.2.4
weekly-shabbat-times,Weekly Shabbat Times,0,132,4.9.12
eduadmin-booking-klarna-checkout,EduAdmin &#8211; Klarna Checkout WordPress-plugin,0,383,5.1.3
custom-thumbnail-size-on-admin,Custom Thumbnail Size On Admin,0,60,5.0.7
fashe-companion,Fashe Companion,0,109,5.1.3
listify-multi-location-for-wp-job-manager,Listify Multi Location for WP Job Manager,100,103,5.2.4
wp-super-team,WP Super Team,0,94,5.0.7
shortcode-content,Shortcode Content,0,85,5.1.3
vesta-guaranteed-payments,Vesta Guaranteed Payments,100,65,5.2.4
floating-form-button,Floating Form Button,0,72,5.2.4
woo-freebee-integration,WooCommerce Freebee Integration,0,194,4.9.12
wp-hide-add-new-theme,Wp Hide Add New Theme,0,86,5.0.7
wp-user-merger,WP User Merger,0,78,5.2.4
wp-profile-picture,WordPress Profile Picture,0,148,5.0.7
seo-local-rank,Seo Local Rank,0,130,5.2.4
tru-utm-generator,UTM Generator,0,62,5.2.4
redirect-to-latest-post-in-category,Redirect to Category Latest Post,0,54,
logicrays-wp-product-count-down,Logicrays WP Product Count Down,0,149,4.9.12
imgturk,ImgTurk,0,237,3.7.31
bbt-pinterest-optin,Pinterest Follow Opt-in,0,665,5.1.3
jalil-toolkit,Jalil Toolkit,0,127,4.9.12
advance-wp-redirect,Advanced WP Redirect,0,62,5.2.4
button-with-fontawesome-icons-by-like-agency,Button with FontAwesome icons by LIKE.agency,0,184,4.9.12
canvasflow,Canvasflow for WordPress,0,617,5.2.4
post-analytics-by-algohex,Post Analytics by Algohex,0,70,5.2.4
p-accordion,Personal accordion,0,270,4.9.12
happycula-custom-user-pages,Happycula Custom User Pages,0,106,5.1.3
wc-order-metadata-check,WC Order Metadata Check,0,83,4.8.11
wp-notice-bar,Notice,0,237,4.8.11
appointment-booking-scheduling-calendar,Appointment Booking Scheduling &amp; Calendar,100,82,5.2.4
wc-order-details,Extended Order Details for WooCommerce,0,158,5.2.4
css-url-argument,CSS Url Argument,0,103,4.9.12
eventilla-events,Eventilla Events,0,167,5.2.4
pokemojis,PoKeMoJiS,0,145,5.1.3
tags-cloud-manager,Tags Cloud Manager,0,166,4.9.12
custom-map-for-real-estate,Custom Map for Real Estate,0,66,5.2.4
cp-demo-switcher,Theme Demo Switcher and Page Switch Bar,0,208,4.9.12
ab-post-to-email,AB Post To Email,0,259,4.95
sv-twitch,SV Block for Twitch,0,88,5.2.4
leira-cron-jobs,Cron Jobs,100,146,5.2.4
full-screen-preloader,Full screen preloader,0,141,5.0.7
gsislogin,gsislogin,0,188,4.9.12
wp-triage,WP Triage,0,398,4.9.12
fleet,Fleet,100,272,5.1.3
atensiq-connector-for-woocommerce,Atensiq Connector for WooCommerce,0,123,5.2.4
category-listing-for-woocommerce,Category Listing for WooCommerce,100,91,5.2.4
youmbrella,Youmbrella,0,65,5.1.3
pilvi-embed,Pilvi Embed,0,315,4.7.15
codigos-de-rastreamento-convr,Gerenciador de Códigos de Rastreamento Convr,0,267,5.2.4
mullweg-de,MÜLLweg! DE,0,148,5.2.4
