Accum,vanilla,nofooter,gfw,yoastseo,genesistant,oik-widget-cache,noclone
0.77,79.059561128527,76.411543287327,63.352095059412,52.896725440806,32.422360248447,67.586206896552,75.611285266458
0.78,79.561128526646,76.913425345044,63.977485928705,54.345088161209,34.099378881988,68.58934169279,76.551724137931
0.79,80.438871473354,77.603513174404,64.790494058787,55.982367758186,35.900621118012,69.404388714734,77.617554858934
0.80,80.626959247649,77.791718946048,65.103189493433,56.738035264484,36.459627329193,69.905956112853,78.119122257053
0.8,82.69592476489,81.68130489335,70.168855534709,62.72040302267,44.844720496894,73.981191222571,81.504702194357
0.9,86.081504702194,85.759096612296,79.049405878674,73.173803526448,58.385093167702,81.880877742947,85.329153605016
1.0,88.84012539185,88.70765370138,84.427767354597,81.423173803526,69.068322981366,85.76802507837,88.33855799373
1.1,91.097178683386,91.091593475533,87.80487804878,85.579345088161,75.652173913043,89.028213166144,90.721003134796
1.2,92.915360501567,92.471769134253,90.368980612883,88.664987405542,80.993788819876,91.473354231975,92.351097178683
1.3,94.23197492163,94.165621079046,92.55784865541,90.428211586902,85.27950310559,93.291536050157,93.479623824451
1.4,94.733542319749,95.106649937265,93.746091307067,92.569269521411,88.198757763975,94.670846394984,94.608150470219
1.5,95.109717868339,96.047678795483,94.621638524078,94.017632241814,90.062111801242,95.485893416928,95.611285266458
1.6,95.673981191223,96.42409033877,95.684803001876,95.340050377834,91.304347826087,95.924764890282,96.050156739812
1.7,96.050156739812,96.612296110414,96.060037523452,95.906801007557,93.354037267081,96.300940438871,96.300940438871
1.8,96.238244514107,96.863237139272,96.435272045028,96.347607052897,94.347826086957,96.551724137931,96.677115987461
1.9,96.363636363636,97.176913425345,96.685428392745,96.47355163728,95.031055900621,96.802507836991,96.990595611285
2.0,96.739811912226,97.302383939774,96.935584740463,96.725440806045,95.465838509317,97.05329153605,97.17868338558
2.1,97.17868338558,97.490589711418,97.060662914321,96.91435768262,95.900621118012,97.17868338558,97.30407523511
2.2,97.366771159875,97.741530740276,97.248280175109,97.35516372796,95.962732919255,97.492163009404,97.680250783699
2.3,97.742946708464,97.804265997491,97.560975609756,97.607052896725,96.335403726708,97.680250783699,97.868338557994
