Accum,wp44,wp45,wp46,wp47,wpnr,wpnc
60,78.594594594595,78.540540540541,77.324324324324,75.972972972973,75.945945945946,77.058029689609
61,80.054054054054,80,79,77.135135135135,77.094594594595,78.812415654521
62,81.675675675676,81.810810810811,80.081081081081,78.945945945946,78.918918918919,79.892037786775
63,83.702702702703,83.540540540541,82.243243243243,79.891891891892,79.864864864865,82.186234817814
64,85.594594594595,85.378378378378,83.459459459459,82.189189189189,82.162162162162,83.400809716599
65,87.216216216216,86.810810810811,85.459459459459,83.405405405405,83.378378378378,85.425101214575
66,87.621621621622,87.594594594595,86.675675675676,85.405405405405,85.405405405405,86.63967611336
67,88.972972972973,88.675675675676,87.891891891892,86.621621621622,86.621621621622,87.719298245614
68,89.783783783784,89.621621621622,89.108108108108,87.702702702703,87.702702702703,88.933873144399
69,90.324324324324,90.216216216216,89.648648648649,88.918918918919,88.918918918919,89.608636977058
70,90.864864864865,91,90.324324324324,89.594594594595,89.594594594595,90.283400809717
71,91.675675675676,91.864864864865,90.864864864865,90.27027027027,90.27027027027,90.823211875843
72,92.216216216216,92.189189189189,91.675675675676,90.810810810811,90.810810810811,91.632928475034
73,92.351351351351,92.27027027027,92.216216216216,91.594594594595,91.621621621622,92.172739541161
74,92.486486486486,92.405405405405,92.351351351351,92.135135135135,92.162162162162,92.307692307692
75,92.513513513514,92.540540540541,92.486486486486,92.27027027027,92.297297297297,92.442645074224
76,92.783783783784,92.756756756757,92.621621621622,92.405405405405,92.432432432432,92.577597840756
77,93.162162162162,93.162162162162,92.756756756757,92.540540540541,92.567567567568,92.712550607287
78,93.432432432432,93.459459459459,93.162162162162,92.675675675676,92.702702702703,93.117408906883
79,93.567567567568,93.567567567568,93.432432432432,93.081081081081,93.108108108108,93.387314439946
80,94.432432432432,94.108108108108,93.459459459459,93.351351351351,93.378378378378,93.657219973009
81,94.594594594595,94.540540540541,94.405405405405,93.540540540541,93.513513513513,94.4669365722
82,94.648648648649,94.72972972973,94.621621621622,94.405405405405,94.459459459459,94.601889338731
83,95,95.054054054054,94.783783783784,94.540540540541,94.594594594595,94.736842105263
84,95.108108108108,95.189189189189,94.972972972973,94.702702702703,94.72972972973,94.871794871795
85,95.108108108108,95.27027027027,95.108108108108,94.918918918919,94.932432432432,95.006747638327
86,95.675675675676,95.648648648649,95.243243243243,95.054054054054,95.067567567568,95.141700404858
87,96.054054054054,96.027027027027,95.783783783784,95.189189189189,95.202702702703,95.681511470985
88,96.324324324324,96.27027027027,95.945945945946,95.72972972973,95.743243243243,95.951417004049
89,96.459459459459,96.459459459459,96.243243243243,95.945945945946,96.013513513513,96.221322537112
